variant,seed,double_dqn,dueling,selected_step,wall_time,val_sharpe,val_sortino,val_cagr,val_volatility,val_max_drawdown,val_calmar,val_final_wealth,val_action_entropy,val_mean_turnover,val_total_cost,test_sharpe,test_sortino,test_cagr,test_volatility,test_max_drawdown,test_calmar,test_final_wealth,test_action_entropy,test_mean_turnover,test_total_cost
Vanilla DQN,0,False,False,15000,96.9,1.4136877706822293,2.136918100751864,0.19388553324411162,0.13148442838414995,0.14725208423941194,1.3166912661750851,165768.7792844906,1.1299368981242783,0.16889317596379141,0.025502869570532504,0.5279225189801682,0.7620939361302989,0.06139210712819443,0.12845002678975945,0.2302782038872051,0.266599730638274,128358.51080979087,1.2415726391959108,0.18650334699059318,0.04681234009463889
Vanilla DQN,1,False,False,15000,122.8,0.9851674176676455,1.367083288347924,0.12557104226349947,0.12849751252782668,0.17642555179060315,0.7117508829590504,137987.24710882021,1.2697134143466535,0.2145634561621479,0.032399081880484334,0.7405690228122415,1.104004962750101,0.08779528222245991,0.12397586317623048,0.2203709088934369,0.3983977860930565,143043.5274385391,1.5772543284342928,0.24207289269581223,0.06076029606664887
Vanilla DQN,2,False,False,20000,143.6,0.945297554179186,1.3198524806982395,0.12767479126228043,0.13710726974891493,0.19210251617750285,0.664618006066661,139512.31924166178,1.2755371042232024,0.1788341396103566,0.02700395508116385,0.250783761160481,0.35901855048865877,0.021780419209945556,0.10990198905870532,0.25197953958111685,0.0864372529855109,101576.28150620786,1.6167439698020394,0.36470902053871446,0.09154196415521734
Vanilla DQN,3,False,False,25000,142.0,1.4432930986523123,2.1751131988420775,0.2029351910580599,0.13429178966191588,0.17855296233248374,1.1365546021027306,166889.76844700644,1.3443464304760533,0.27404562095889357,0.041380888764792914,0.8210941471879172,1.2036956568603847,0.09415020888185288,0.11805807849989566,0.17196329168031443,0.5475017834438834,147116.4240332353,1.502911158387506,0.24569809003550683,0.061670220598912216
Vanilla DQN,4,False,False,25000,142.3,1.1659679784808181,1.6014613604071946,0.12798441734547295,0.10837212030707462,0.17642555179060326,0.7254301661324866,138142.42019923957,1.6671218454638608,0.24960979667120076,0.03769107929735132,0.187182514461698,0.2609149864189186,0.015767333616125923,0.12594145625652953,0.25059315526119363,0.06292004903203205,104170.69002593124,1.3820149578338765,0.14731708533741603,0.036976588419691425
Vanilla DQN,5,False,False,5000,144.6,1.259109579349245,1.7399534919268704,0.1528566655958119,0.11860975898316276,0.17642555179060304,0.866408884905942,149223.27449139336,1.1992581907697326,0.17139680182786132,0.02588091707600706,0.5883736656377955,0.8941831854979354,0.06107535025401578,0.11120942053896014,0.21615132108467827,0.282558301968875,127685.02772260508,1.5287830408626097,0.20155150251438955,0.05058942713111178
Double DQN,0,True,False,10000,154.4,1.3521293409527546,1.9779639995781146,0.1581153136371387,0.11333980643796134,0.13632545799499463,1.1598370250327281,151018.49306315932,1.361164727802901,0.18249703188564512,0.02755705181473241,0.7446413710858176,1.0856154624812249,0.08731717958669138,0.12248022417972312,0.16157642475314904,0.5404079197821811,145573.57567752159,1.4369607828832442,0.16353685283558714,0.04104775006173238
Double DQN,1,True,False,15000,168.5,1.6236249562175238,2.365083673841279,0.198953619321532,0.11593812175800905,0.13808060849250559,1.4408512642984936,164764.39491786563,1.3811449931812902,0.2931333983020862,0.04426314314361501,0.7772003392900524,1.1184753873069264,0.08943915065514352,0.11938012067476661,0.2291361726260016,0.39033186960457356,141682.4840085046,1.5469958430759654,0.3100665409082796,0.07782670176797818
Double DQN,2,True,False,5000,145.3,1.3947505876052981,2.0429344441237194,0.16426825262446787,0.11370839187769426,0.12772121252538804,1.2861469866786233,152991.11997291187,1.4812009445547598,0.2016784865757075,0.030453451472931835,0.7836963545792789,1.1188712965578183,0.0781366260843086,0.10275180580424305,0.1339422700098689,0.5833604737216375,134297.4014035447,1.558407314653549,0.3165744435461537,0.07946018533008459
Double DQN,3,True,False,20000,148.7,1.2598031858082068,1.7784013674729218,0.1925060802448304,0.14859104891295918,0.19669455751212417,0.9787056778780695,164850.9262978916,1.3977659829270768,0.18272874171646344,0.02759203999918598,0.6028175332891036,0.873407683856321,0.0685635107473257,0.12240997696097697,0.16961375878827833,0.4042331897904027,132398.81946149943,1.4228553081125697,0.19653107231351444,0.04932929915069212
Double DQN,4,True,False,20000,167.9,1.1810444528392805,1.8548518367825997,0.11562349786630799,0.09658026237511588,0.1237101420598895,0.9346323263482579,133693.51635587076,1.5094372822721818,0.24776977369321004,0.03741323582767472,0.5066067998606021,0.7126879710166275,0.05294015503876337,0.11486626649369605,0.22814731726084492,0.2320437324197678,122028.97953395579,1.4857657989953987,0.22945775825172776,0.057593897321183675
Double DQN,5,True,False,35000,164.0,1.0078512844614567,1.4894818713255673,0.12114613570940813,0.12068533447118027,0.17133075461831204,0.7070892553954811,136319.93912246748,1.4883900936307977,0.2169162527939515,0.03275435417188667,0.3555589922500357,0.5074427706527705,0.02838912095428814,0.09015838490357272,0.2169241121747585,0.13087120961185394,107500.47066794455,1.3203346365176651,0.2667255323395572,0.06694810861722886
Dueling DQN,0,False,True,10000,156.3,1.2395056941422815,1.8338550341853181,0.14735746064487176,0.11636859098684385,0.14731847434111967,1.0002646396110635,146963.1365320232,1.40574471038008,0.1776153045613034,0.026819910988756815,0.6254972914205674,0.9140509212071585,0.0752682395665103,0.12936699618473044,0.2096884103345692,0.3589527883129819,136701.59641612918,1.202965604988968,0.19312549261586032,0.04847449864658094
Dueling DQN,1,False,True,5000,155.1,0.9968089036048963,1.3804110462754409,0.12388467037464723,0.12506128513273887,0.17642555179060337,0.7021923361854293,139351.53185346638,1.6010665722127886,0.11969852486429396,0.018074477254508392,0.861472230514948,1.2569944957446701,0.10012623165104295,0.11899087167895703,0.21886956818195213,0.4574698642791918,152883.08538607147,1.6305290450793912,0.20053867373998344,0.05033520710873584
Dueling DQN,2,False,True,50000,171.7,0.7304904551056032,0.9773137862532246,0.10003055393918059,0.14503870550141904,0.16841479913209456,0.5939534675971235,129827.21182921615,0.9015181247611375,0.16285650245710795,0.0245913318710233,0.5388279996595133,0.8143892582852366,0.051686337543479954,0.1033848871936938,0.17395389140161832,0.2971266530861816,119763.14670559492,1.3190127604096027,0.28046942431708377,0.07039782550358803
Dueling DQN,3,False,True,20000,176.4,1.1567235154771562,1.650338911521385,0.1626064959532143,0.13861765586078037,0.1404049360059878,1.1581252096883523,152919.1575228925,1.4988522121449377,0.17646499818113304,0.02664621472535109,0.6992025728338627,1.0223307798396746,0.07562937349451793,0.11346660438363058,0.18895286770652842,0.4002552298490725,135861.22346653175,1.6205658320124579,0.22434595850547404,0.05631083558487399
Dueling DQN,4,False,True,5000,91.0,1.4955011970490384,2.1631561680945683,0.15078435071006124,0.0970907484545724,0.14318515800480858,1.0530724888748417,148316.09173023287,1.7289606126674695,0.17609451124393255,0.026590271197833817,0.6586763932143674,0.9451713428797788,0.0667194968901017,0.10670193258096612,0.18144354033347765,0.3677149198449115,128957.39423575423,1.6750524001992448,0.26719455410471665,0.06706583308028388
Dueling DQN,5,False,True,15000,138.0,1.13128659154581,1.5707308820328867,0.14933714505558449,0.1306616609457923,0.16859160603619838,0.8857922916015181,147294.54909586642,1.5601624861829797,0.19687926887081253,0.02972876959949269,0.24140363727630856,0.3418703160460222,0.01863510658504186,0.09527746091777621,0.24816318593756237,0.0750921475908616,105670.80913191845,1.4428241930490753,0.14624199038816135,0.0367067395874285
Double+Dueling DQN,0,True,True,5000,144.4,0.9891245011861266,1.4374123953026665,0.11304246489339342,0.11496085502565312,0.1777158346932599,0.6360854961996287,134117.78484404943,1.516153729603411,0.18085393778706998,0.027308944605847568,0.6327626374845816,0.9339073114626341,0.0742371835160276,0.12559522600254008,0.25610287674195775,0.28987250928394276,136539.80917714693,1.4316329820006581,0.17883711863862262,0.044888116778294275
Double+Dueling DQN,1,True,True,5000,146.4,1.5213009755176554,2.1790817965930143,0.18785202161258985,0.11776019471245884,0.09688010203011832,1.9390155220335128,162616.19667009634,1.5875931785861876,0.19553332114564573,0.029525531492992505,0.509900920932456,0.7333105798407068,0.05808597897140677,0.12634041145447608,0.20297112785748417,0.28617852984583964,125287.44564638018,1.6393265600799642,0.2211414690146853,0.05550650872268601
Double+Dueling DQN,2,True,True,5000,146.6,1.1502884148708867,1.5880416551879435,0.13112823713036703,0.11267391571718391,0.16331173807814414,0.8029321019633174,141135.74478461596,1.2968353010603537,0.1628925611985511,0.02459677674098122,0.4695201976633848,0.6794928228607547,0.049482859129626355,0.11756043196572431,0.2295917272024126,0.2155254448083893,120807.50746138889,1.5259293055853425,0.20434446945892398,0.05129046183418992
Double+Dueling DQN,3,True,True,20000,145.5,1.2538805027322713,1.8836652677477332,0.1697140174842635,0.13197350509976388,0.17133075461831182,0.9905636490211577,156132.4626014621,1.4792096022151842,0.15970012411665988,0.024114718741615637,0.36014228857247343,0.5158837129154665,0.037923296516346516,0.12497547467888516,0.2696774921223475,0.1406246261706611,113794.05433255574,1.5318812757191582,0.2230463624360184,0.05598463697144063
Double+Dueling DQN,4,True,True,5000,144.9,1.563597282977502,2.2509686741045654,0.15765219352370563,0.0966443901307024,0.1521050947777045,1.036468855656071,149495.43077666033,1.7228176237033557,0.24167784571847042,0.03649335470348904,0.7343038115777255,1.0660632804655141,0.06591858052712785,0.09280616849999593,0.141389384496716,0.4662201533854114,130091.33429081469,1.5221794813268077,0.21744836118371028,0.054579538657111286
Double+Dueling DQN,5,True,True,20000,147.3,1.4209687908888349,2.0684248035003114,0.16876055370107612,0.11437747932969217,0.14146575830341768,1.1929427709221068,155353.01903393227,1.5307109510991612,0.17665357631943673,0.026674690024234952,0.6145693798941798,0.9042474942620482,0.06684606089796974,0.11624786403169984,0.25549997415226466,0.2616284448550784,129054.24083292826,1.591813926776397,0.26655449184558644,0.0669051774532422
