variant,seed,train_days,test_days,train_end,valid_start,valid_end,test_start,test_end,test_sharpe,test_sortino,test_cagr,test_volatility,test_max_drawdown,test_calmar,test_final_wealth,test_action_entropy,test_mean_turnover,test_total_cost
2021,0,3353,252,2018-12-31,2019-01-01,2020-12-31,2021-01-01,2021-12-31,2.1290826429367082,3.2039172273918686,0.19546015154092,0.0855987153474747,0.05014654819152575,3.897778782188457,118283.28217082362,1.3684434195918378,0.18397317400318822,0.009198658700159412
2021,1,3353,252,2018-12-31,2019-01-01,2020-12-31,2021-01-01,2021-12-31,2.5244565399285643,3.8637062639309683,0.24108594643654602,0.08709182729447998,0.05864941892923747,4.110628047780396,121623.77301299776,1.522233148056769,0.370055632609947,0.01850278163049735
2021,2,3353,252,2018-12-31,2019-01-01,2020-12-31,2021-01-01,2021-12-31,1.2247248484042603,1.813379093633509,0.1106631663275568,0.0889338007506391,0.07146418127528498,1.5485123365686457,109983.6882333136,1.383545957348688,0.17917206590747553,0.008958603295373778
2022,0,3605,251,2019-12-31,2020-01-01,2021-12-31,2022-01-01,2022-12-31,-0.6768171495926618,-0.9388833769033201,-0.14037324563977605,0.19533985395396752,0.21205366938901304,-0.6619703683705701,85541.43110794814,0.5664873570420911,0.12220535695582438,0.00611026784779122
2022,1,3605,251,2019-12-31,2020-01-01,2021-12-31,2022-01-01,2022-12-31,-1.02064807566459,-1.3704713033183278,-0.16086277762944023,0.15936830683756492,0.25196960177496486,-0.6384213670866039,83087.47298884891,0.9814076975146931,0.2256675637128327,0.011283378185641634
2022,2,3605,251,2019-12-31,2020-01-01,2021-12-31,2022-01-01,2022-12-31,-1.2852528797120766,-1.7258406719603887,-0.212450246776679,0.1739997311763753,0.2546447842395205,-0.8343004056067646,78449.50533279474,1.3262705419947778,0.11561171708588434,0.005780585854294217
2023,0,3858,250,2020-12-31,2021-01-01,2022-12-31,2023-01-01,2023-12-31,1.6108466523686822,2.4671553715061103,0.18191506814056035,0.10735144507246339,0.09322616100373116,1.9513306799502301,116825.92146509635,1.0958546167691428,0.19256261040724218,0.00962813052036211
2023,1,3858,250,2020-12-31,2021-01-01,2022-12-31,2023-01-01,2023-12-31,0.9170301311684466,1.3551866266641777,0.09870195803878334,0.1091283440071147,0.13712310885685408,0.71980542784966,108292.73925949656,1.5048375930910007,0.2667376169058706,0.01333688084529353
2023,2,3858,250,2020-12-31,2021-01-01,2022-12-31,2023-01-01,2023-12-31,1.0037799001964547,1.4618368675350686,0.09818784666544977,0.09810167848483457,0.09063071945219192,1.083383727492578,108488.33140664139,1.258653221781214,0.2213842574018465,0.011069212870092325
2024,0,4110,252,2021-12-31,2022-01-01,2023-12-31,2024-01-01,2024-12-31,1.6620302390175952,2.4112341336790992,0.1804334328323911,0.10302456734556997,0.043482501582943534,4.149564221557299,116919.99090445093,1.3772539978123979,0.16486915413093692,0.008243457706546845
2024,1,4110,252,2021-12-31,2022-01-01,2023-12-31,2024-01-01,2024-12-31,0.9522272187935925,1.3259749526867546,0.09657772981784007,0.10232507425211233,0.06190067198495475,1.5602048688795132,107936.88472060575,1.2844180103992842,0.30161261156562635,0.015080630578281318
2024,2,4110,252,2021-12-31,2022-01-01,2023-12-31,2024-01-01,2024-12-31,1.457379656713569,2.087877247297284,0.15413137933081256,0.1019459268597449,0.0614453626496152,2.5084298095810458,114361.04165744015,1.0487088642156188,0.1603404725892582,0.008017023629462909
2025,0,4361,250,2022-12-31,2023-01-01,2024-12-31,2025-01-01,2025-12-31,1.3711395786423226,2.1185524212354236,0.17936053813586406,0.12609233994149205,0.10748693321291247,1.6686729519073986,116258.47709496062,1.535048964621868,0.247164242081727,0.012358212104086351
2025,1,4361,250,2022-12-31,2023-01-01,2024-12-31,2025-01-01,2025-12-31,1.937442993654547,3.0366922602643287,0.18386037378467357,0.08918322033617006,0.05340190428245373,3.4429553824934405,116745.1551329306,1.4344863423443037,0.23887520403569465,0.011943760201784732
2025,2,4361,250,2022-12-31,2023-01-01,2024-12-31,2025-01-01,2025-12-31,1.207625842864844,1.7699637710126095,0.1396927627092439,0.11362839690478567,0.11328282906910547,1.2331327162038626,112860.78396703002,1.1493572047285214,0.16429611374270375,0.00821480568713519
