date,SPY,TLT,GLD,SHY
2004-11-01,36720900,923500,,237800
2004-11-02,56210000,709300,,303600
2004-11-03,76960200,1066600,,232000
2004-11-04,55350300,2285100,,279700
2004-11-05,63287200,1838000,,335100
2004-11-08,33863800,454100,,224400
2004-11-09,44658100,373000,,198700
2004-11-10,45265400,1303400,,170600
2004-11-11,37863200,309700,,121500
2004-11-12,55583700,1125900,,179500
2004-11-15,35297900,763200,,210300
2004-11-16,40028700,520900,,143600
2004-11-17,54494000,1249400,,122300
2004-11-18,31854300,891500,5992000.0,287700
2004-11-19,54276500,1244500,11655300.0,209400
2004-11-22,37560200,511500,11996000.0,466700
2004-11-23,41968800,746300,3169200.0,262600
2004-11-24,29724800,309700,6105100.0,184200
2004-11-26,15487700,697100,3097700.0,138700
2004-11-29,61460800,1546400,3759000.0,144100
2004-11-30,53685200,1754500,3857200.0,398000
2004-12-01,49898300,2489800,2037500.0,188300
2004-12-02,60163500,2881500,6457800.0,227800
2004-12-03,49067900,2233700,4218300.0,418300
2004-12-06,33030500,1314100,3102400.0,197200
2004-12-07,52047200,784300,3797300.0,516500
2004-12-08,43895100,2639700,6148600.0,141300
2004-12-09,60922800,1428900,3553400.0,263600
2004-12-10,47828600,1445000,2464300.0,245900
2004-12-13,38541000,677400,1445100.0,237400
2004-12-14,41500700,1568200,2240600.0,300400
2004-12-15,46699200,2511500,2641400.0,325700
2004-12-16,51641800,1998200,3269800.0,326100
2004-12-17,70761900,1319800,1889300.0,92700
2004-12-20,47187400,230500,1942100.0,260100
2004-12-21,33094200,245200,1373400.0,283300
2004-12-22,31500700,511600,2705800.0,709900
2004-12-23,25646100,738600,639800.0,417600
2004-12-27,29944100,1322600,2643500.0,142900
2004-12-28,23422900,1253500,773200.0,243500
2004-12-29,22650600,567500,5632200.0,214600
2004-12-30,21076900,626400,1289600.0,208000
2004-12-31,28648800,1056400,531600.0,170600
2005-01-03,55748000,1168000,4750400.0,370200
2005-01-04,69167600,1935400,3456800.0,425300
2005-01-05,65667300,1094100,2033600.0,273500
2005-01-06,47814700,1057400,2556400.0,318800
2005-01-07,55847700,738700,4492700.0,142500
2005-01-10,56563300,379400,1025800.0,296100
2005-01-11,63099700,844100,1507300.0,296000
2005-01-12,72720500,722000,1738000.0,126400
2005-01-13,55537500,1876700,718300.0,104500
2005-01-14,42032500,1043800,1262300.0,213100
2005-01-18,57391700,1251600,666800.0,167000
2005-01-19,54378900,655800,1578900.0,221700
2005-01-20,72049300,1064200,1276200.0,156500
2005-01-21,63160400,606300,889800.0,188000
2005-01-24,58441900,561400,2294900.0,325700
2005-01-25,68245000,1942200,1332500.0,219300
2005-01-26,57195100,709800,541800.0,114100
2005-01-27,55878800,463900,571200.0,273700
2005-01-28,60738900,1128000,1149100.0,101400
2005-01-31,52532700,1313900,1692400.0,179500
2005-02-01,49841200,948200,1088900.0,215200
2005-02-02,52468900,760300,956500.0,179400
2005-02-03,48837100,505800,2446400.0,270600
2005-02-04,50024600,3483900,1819400.0,451400
2005-02-07,45412000,1064600,1754000.0,345800
2005-02-08,39263500,1383800,1296800.0,154400
2005-02-09,55279400,2125800,3477900.0,415000
2005-02-10,45858600,1240000,7774500.0,506600
2005-02-11,53133000,1275200,1896500.0,298600
2005-02-14,32432100,295000,2351800.0,640800
2005-02-15,43852700,900200,1559900.0,261000
2005-02-16,55523000,1189700,1820400.0,163100
2005-02-17,58124000,1146400,3054200.0,443800
2005-02-18,47723300,2655800,863200.0,199100
2005-02-22,80697600,914600,3378400.0,177600
2005-02-23,68292600,1115000,1534900.0,727500
2005-02-24,68563600,798500,1219300.0,223400
2005-02-25,60899900,588800,1100100.0,595100
2005-02-28,69381300,2797300,755300.0,502900
2005-03-01,47294400,1648500,3245600.0,265100
2005-03-02,64226500,1139300,1188000.0,390100
2005-03-03,61230800,1600600,1924600.0,1341100
2005-03-04,56168500,1567000,915000.0,438000
2005-03-07,43442400,889800,1290100.0,429300
2005-03-08,44362000,680400,2674900.0,242400
2005-03-09,73263600,2549600,3025000.0,376400
2005-03-10,65149000,1357700,2065000.0,236900
2005-03-11,57976500,1017900,2659600.0,758700
2005-03-14,36336400,805000,866600.0,214900
2005-03-15,62438500,963900,1254900.0,258900
2005-03-16,74874200,2097800,2223300.0,376100
2005-03-17,62584200,1025300,1525200.0,224400
2005-03-18,60232000,722700,1207500.0,111200
2005-03-21,61244300,893100,3814400.0,1622400
2005-03-22,92472400,2544900,2609400.0,1623900
2005-03-23,70817300,1951700,2618600.0,216000
2005-03-24,51932500,746800,1466300.0,270500
2005-03-28,46765500,382200,581100.0,865700
2005-03-29,71160300,1135000,1197800.0,263600
2005-03-30,62002100,1095600,1324300.0,168300
2005-03-31,64575400,2410900,1363200.0,189200
2005-04-01,95255300,2805300,2448500.0,779200
2005-04-04,71581200,754800,1893100.0,543700
2005-04-05,46853900,733300,888000.0,134500
2005-04-06,53268200,402800,1637500.0,175200
2005-04-07,46734600,973000,2853000.0,294200
